R (cm),Test θ (°),Test φ (°),Real θ (°),Real φ (°)
134,17.5,0,16.92,0.00
129,25,81.6,17.60,82.82
133,21.7,53,17.05,61.74
143,17.7,22.8,15.83,31.56
147,15.2,6.4,15.39,15.13
146,14.25,-5.9,15.49,-13.15
151,12.3,-25.5,14.97,-35.16
150,11.7,-57.7,15.07,-63.84
157,10.7,-80.9,14.38,-83.17
150,12.6,0,15.07,0.00
154,35.7,84,27.87,87.47
147,37.2,61.2,29.33,72.16
150,33.1,34.2,28.69,46.85
150,31.4,11.4,28.69,24.23
147,30.5,0,29.33,0.00
150,27.69,-6,28.69,-15.43
150,29.7,-24.7,28.69,-33.17
152,29.3,-41.2,28.27,-47.06
151,27.8,-67,28.48,-80.74
158.5,26.8,-84,26.21,-86.92
153,43.6,-86.7,39.34,-85.77
147,51.85,-67,41.29,-75.63
147,50.1,-42.9,41.29,-50.31
145,52.1,-17.6,41.99,-26.45
151,47.15,-26.2,39.97,-39.11
145,47.3,0,41.99,0.00
147,49,0.8,41.29,13.08
145,52.3,14,41.99,30.07
146,54,29,41.64,45.63
147,48,46,41.29,64.87
150,50,63,40.29,78.20
150,51.8,71.6,40.29,80.98
150,51.7,86.3,40.29,85.11
152.15,82.8,75.7,65.09,87.23
151.7,79.5,52.3,65.46,69.48
150,77.6,20.7,66.93,51.49
150,75,0,66.93,0.00
150,79,-22.7,66.93,-37.76
150,81.7,-71.7,66.93,-62.19
154,78.7,-89,63.65,-84.18
